Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-2022,45.74,45.89,44.16,45.06,390003,3972,17653224.00,349563,89.63,1.73,-0.68
June-2022,45.17,45.72,44.37,45.05,448494,2833,20194050.00,409237,91.25,1.35,-0.12
July-2022,45.06,46.44,44.11,45.21,679011,3245,30260150.00,653380,96.23,2.33,0.15
August-2022,45.50,46.44,44.71,45.12,830919,4475,37888060.00,746007,89.78,1.73,-0.38
September-2022,44.74,45.29,43.31,44.28,1281042,5356,56542777.00,1162044,90.71,1.98,-0.46
October-2022,44.30,46.74,43.96,44.54,838098,4938,37577056.00,714665,85.27,2.78,0.24
November-2022,44.54,46.79,44.20,46.45,677237,4435,31168757.00,561619,82.93,2.59,1.91
December-2022,46.45,48.74,46.26,48.35,1216618,5644,57521722.00,1127747,92.70,2.48,1.90
January-2023,48.35,50.89,48.18,50.02,343440,4906,17024083.00,259608,75.59,2.71,1.67
February-2023,49.92,53.00,48.66,48.67,411166,20607,20639783.00,321918,78.29,4.34,-1.25
March-2023,48.91,51.09,48.15,50.98,884260,12202,43301993.00,835301,94.46,2.94,2.07
